#TAXON,TAXID,NAME
no rank,1318354,Influenza A virus (A/Missouri/01/2011(H1N1))
no rank,1681961,Influenza A virus (A/Missouri/01/2014(H1N1))
no rank,1823947,Influenza A virus (A/Missouri/01/2016(H1N1))
no rank,649871,Influenza A virus (A/Missouri/02/2009(H1N1))
no rank,649872,Influenza A virus (A/Missouri/03/2009(H1N1))
no rank,1318355,Influenza A virus (A/Missouri/03/2010(H1N1))
no rank,1318356,Influenza A virus (A/Missouri/03/2011(H1N1))
no rank,1320450,Influenza A virus (A/Missouri/03/2012(H1N1))
no rank,1398836,Influenza A virus (A/Missouri/03/2013(H1N1))
no rank,1681962,Influenza A virus (A/Missouri/03/2014(H1N1))
no rank,1865267,Influenza A virus (A/Missouri/03/2016(H1N1))
no rank,655210,Influenza A virus (A/Missouri/04/2009(H1N1))
no rank,1320451,Influenza A virus (A/Missouri/04/2012(H1N1))
no rank,1865268,Influenza A virus (A/Missouri/04/2016(H1N1))
no rank,1961934,Influenza A virus (A/Missouri/04/2017(H1N1))
no rank,1305301,Influenza A virus (A/Missouri/05/2009(H1N1))
no rank,1540633,Influenza A virus (A/Missouri/05/2014(H1N1))
no rank,1865269,Influenza A virus (A/Missouri/05/2016(H1N1))
no rank,583039,Influenza A virus (A/Missouri/06/2008(H1N1))
no rank,1540634,Influenza A virus (A/Missouri/06/2013(H1N1))
no rank,1681963,Influenza A virus (A/Missouri/06/2014(H1N1))
no rank,1865270,Influenza A virus (A/Missouri/06/2016(H1N1))
no rank,1540635,Influenza A virus (A/Missouri/07/2013(H1N1))
no rank,1865271,Influenza A virus (A/Missouri/07/2016(H1N1))
no rank,1305302,Influenza A virus (A/Missouri/08/2009(H1N1))
no rank,1865272,Influenza A virus (A/Missouri/08/2016(H1N1))
no rank,1972297,Influenza A virus (A/Missouri/08/2017(H1N1))
no rank,1865273,Influenza A virus (A/Missouri/09/2016(H1N1))
no rank,461786,Influenza A virus (A/Missouri/11/2006(H1N1))
no rank,1865274,Influenza A virus (A/Missouri/11/2016(H1N1))
no rank,476357,Influenza A virus (A/Missouri/12/2006(H1N1))
no rank,1865275,Influenza A virus (A/Missouri/12/2016(H1N1))
no rank,461787,Influenza A virus (A/Missouri/13/2006(H1N1))
no rank,1910050,Influenza A virus (A/Missouri/14/2016(H1N1))
no rank,402942,Influenza A virus (A/Missouri/3/2006(H1N1))
no rank,461810,Influenza A virus (A/Missouri/9/2006(H1N1))
no rank,1004595,Influenza A virus (A/Missouri/NHRC0001/2011(H1N1))
no rank,1503415,Influenza A virus (A/Missouri/NHRC419710/2014(H1N1))
no rank,1873113,Influenza A virus (A/Missouri/NHRC_36878/2016(H1N1))
no rank,1873114,Influenza A virus (A/Missouri/NHRC_36879/2016(H1N1))
no rank,1873115,Influenza A virus (A/Missouri/NHRC_36883/2016(H1N1))
no rank,1873116,Influenza A virus (A/Missouri/NHRC_36892/2016(H1N1))
no rank,1873117,Influenza A virus (A/Missouri/NHRC_36894/2016(H1N1))
no rank,2006022,Influenza A virus (A/Missouri/NHRC_36962/2017(H1N1))
no rank,242365,Influenza A virus (A/Miyagi/4/2000(H1N1))
no rank,242366,Influenza A virus (A/Miyagi/89/1999(H1N1))
no rank,869153,Influenza A virus (A/Mombasa/148/2009(H1N1))
no rank,877480,Influenza A virus (A/Mombasa/179/2009(H1N1))
no rank,877481,Influenza A virus (A/Mombasa/27/2009(H1N1))
no rank,869154,Influenza A virus (A/Mombasa/512/2009(H1N1))
no rank,877482,Influenza A virus (A/Mombasa/91/2009(H1N1))
no rank,311374,Influenza A virus (A/Mongolia/111/91 (H1N1))
no rank,311247,Influenza A virus (A/Mongolia/153/88(H1N1))
no rank,311246,Influenza A virus (A/Mongolia/162/91(H1N1))
no rank,311245,Influenza A virus (A/Mongolia/231/85(H1N1))
no rank,383542,Influenza A virus (A/Monmouth/1947(H1N1))
no rank,666312,Influenza A virus (A/Montana/01/2008(H1N1))
no rank,666244,Influenza A virus (A/Montana/01/2009(H1N1))
no rank,1305303,Influenza A virus (A/Montana/01/2010(H1N1))
no rank,1681964,Influenza A virus (A/Montana/01/2014(H1N1))
no rank,1823948,Influenza A virus (A/Montana/01/2016(H1N1))
no rank,666245,Influenza A virus (A/Montana/02/2009(H1N1))
no rank,1305304,Influenza A virus (A/Montana/02/2010(H1N1))
no rank,1540636,Influenza A virus (A/Montana/02/2014(H1N1))
no rank,1823949,Influenza A virus (A/Montana/02/2016(H1N1))
no rank,1960362,Influenza A virus (A/Montana/02/2017(H1N1))
no rank,666246,Influenza A virus (A/Montana/03/2009(H1N1))
no rank,1305305,Influenza A virus (A/Montana/03/2010(H1N1))
no rank,1318357,Influenza A virus (A/Montana/03/2011(H1N1))
no rank,1823950,Influenza A virus (A/Montana/03/2016(H1N1))
no rank,1681965,Influenza A virus (A/Montana/04/2013(H1N1))
no rank,1540637,Influenza A virus (A/Montana/04/2014(H1N1))
no rank,1823951,Influenza A virus (A/Montana/04/2016(H1N1))
no rank,1961935,Influenza A virus (A/Montana/04/2017(H1N1))
no rank,1731484,Influenza A virus (A/Montana/05/2015(H1N1))
no rank,1823952,Influenza A virus (A/Montana/05/2016(H1N1))
no rank,664742,Influenza A virus (A/Montana/06/2009(H1N1))
no rank,1318358,Influenza A virus (A/Montana/06/2010(H1N1))
no rank,1318359,Influenza A virus (A/Montana/06/2011(H1N1))
no rank,1823953,Influenza A virus (A/Montana/06/2016(H1N1))
no rank,659139,Influenza A virus (A/Montana/07/2009(H1N1))
no rank,1823954,Influenza A virus (A/Montana/07/2016(H1N1))
no rank,1731486,Influenza A virus (A/Montana/08/2015(H1N1))
no rank,1823955,Influenza A virus (A/Montana/08/2016(H1N1))
no rank,1320452,Influenza A virus (A/Montana/09/2012(H1N1))
no rank,1823956,Influenza A virus (A/Montana/10/2016(H1N1))
no rank,1823957,Influenza A virus (A/Montana/11/2016(H1N1))
no rank,1823958,Influenza A virus (A/Montana/12/2016(H1N1))
no rank,1305306,Influenza A virus (A/Montana/15/2009(H1N1))
no rank,1681966,Influenza A virus (A/Montana/15/2013(H1N1))
no rank,1865276,Influenza A virus (A/Montana/15/2016(H1N1))
no rank,1865277,Influenza A virus (A/Montana/16/2016(H1N1))
no rank,1305307,Influenza A virus (A/Montana/17/2009(H1N1))
no rank,1865278,Influenza A virus (A/Montana/17/2016(H1N1))
no rank,1305308,Influenza A virus (A/Montana/18/2009(H1N1))
no rank,1865279,Influenza A virus (A/Montana/18/2016(H1N1))
no rank,1305309,Influenza A virus (A/Montana/19/2009(H1N1))
no rank,1865280,Influenza A virus (A/Montana/19/2016(H1N1))
no rank,1865281,Influenza A virus (A/Montana/20/2016(H1N1))
no rank,1865282,Influenza A virus (A/Montana/21/2016(H1N1))
no rank,1305310,Influenza A virus (A/Montana/22/2009(H1N1))
no rank,1865283,Influenza A virus (A/Montana/22/2016(H1N1))
no rank,1865284,Influenza A virus (A/Montana/23/2016(H1N1))
no rank,1910052,Influenza A virus (A/Montana/24/2016(H1N1))
no rank,1305311,Influenza A virus (A/Montana/25/2009(H1N1))
no rank,1865285,Influenza A virus (A/Montana/27/2016(H1N1))
no rank,1865286,Influenza A virus (A/Montana/28/2016(H1N1))
no rank,1865287,Influenza A virus (A/Montana/29/2016(H1N1))
no rank,1865288,Influenza A virus (A/Montana/30/2016(H1N1))
no rank,1865289,Influenza A virus (A/Montana/31/2016(H1N1))
no rank,1865290,Influenza A virus (A/Montana/32/2016(H1N1))
no rank,1865291,Influenza A virus (A/Montana/33/2016(H1N1))
no rank,1865292,Influenza A virus (A/Montana/34/2016(H1N1))
no rank,1788742,Influenza A virus (A/Montana/35/2015(H1N1))
no rank,1865293,Influenza A virus (A/Montana/35/2016(H1N1))
no rank,1865294,Influenza A virus (A/Montana/36/2016(H1N1))
no rank,1482440,Influenza A virus (A/Montana/3612/2014(H1N1))
no rank,1823961,Influenza A virus (A/Montana/37/2015(H1N1))
no rank,1865295,Influenza A virus (A/Montana/37/2016(H1N1))
no rank,1506017,Influenza A virus (A/Montana/3792/2014(H1N1))
no rank,1823962,Influenza A virus (A/Montana/38/2015(H1N1))
no rank,1910053,Influenza A virus (A/Montana/39/2016(H1N1))
no rank,1636753,Influenza A virus (A/Montana/3931/2014(H1N1))
no rank,1823963,Influenza A virus (A/Montana/40/2015(H1N1))
no rank,1823964,Influenza A virus (A/Montana/41/2015(H1N1))
no rank,1910054,Influenza A virus (A/Montana/41/2016(H1N1))
no rank,1910055,Influenza A virus (A/Montana/42/2016(H1N1))
no rank,1925189,Influenza A virus (A/Montana/47/2016(H1N1))
no rank,1925190,Influenza A virus (A/Montana/48/2016(H1N1))
no rank,1925191,Influenza A virus (A/Montana/49/2016(H1N1))
no rank,1925192,Influenza A virus (A/Montana/50/2016(H1N1))
no rank,1925193,Influenza A virus (A/Montana/51/2016(H1N1))
no rank,1925196,Influenza A virus (A/Montana/54/2016(H1N1))
no rank,1925197,Influenza A virus (A/Montana/55/2016(H1N1))
no rank,1932535,Influenza A virus (A/Montana/57/2016(H1N1))
no rank,1928936,Influenza A virus (A/Montana/59/2016(H1N1))
no rank,1932536,Influenza A virus (A/Montana/60/2016(H1N1))
no rank,1932537,Influenza A virus (A/Montana/61/2016(H1N1))
no rank,1936839,Influenza A virus (A/Montana/63/2016(H1N1))
no rank,1936840,Influenza A virus (A/Montana/65/2016(H1N1))
no rank,1960363,Influenza A virus (A/Montana/71/2016(H1N1))
no rank,1978620,Influenza A virus (A/Montenegro/LACENRS-2312/2013(H1N1))
no rank,647418,Influenza A virus (A/Monterrey/1/2009(H1N1))
no rank,647419,Influenza A virus (A/Monterrey/2/2009(H1N1))
no rank,666497,Influenza A virus (A/Monterrey/3/2009(H1N1))
no rank,1049080,Influenza A virus (A/Montreal/01/2009(H1N1))
no rank,1049081,Influenza A virus (A/Montreal/MTL007311/2009(H1N1))
no rank,1049082,Influenza A virus (A/Montreal/MTL082953/2009(H1N1))
no rank,1049083,Influenza A virus (A/Montreal/MTL083230/2009(H1N1))
no rank,1049084,Influenza A virus (A/Montreal/MTL083280/2009(H1N1))
no rank,1049085,Influenza A virus (A/Montreal/MTL083803/2009(H1N1))
no rank,1049086,Influenza A virus (A/Montreal/MTL083987/2009(H1N1))
no rank,1049087,Influenza A virus (A/Montreal/MTL085214/2009(H1N1))
no rank,1049088,Influenza A virus (A/Montreal/MTL085707/2009(H1N1))
no rank,1049089,Influenza A virus (A/Montreal/MTL088751/2009(H1N1))
no rank,1049090,Influenza A virus (A/Montreal/MTL120171/2009(H1N1))
no rank,1049091,Influenza A virus (A/Montreal/MTL129721/2009(H1N1))
no rank,1049092,Influenza A virus (A/Montreal/MTL130931/2009(H1N1))
no rank,1049093,Influenza A virus (A/Montreal/MTL133695/2009(H1N1))
no rank,1049094,Influenza A virus (A/Montreal/MTL133868/2009(H1N1))
no rank,1049095,Influenza A virus (A/Montreal/MTL136104/2009(H1N1))
no rank,1049096,Influenza A virus (A/Montreal/MTL138378/2009(H1N1))
no rank,1049097,Influenza A virus (A/Montreal/MTL139735/2009(H1N1))
no rank,1049098,Influenza A virus (A/Montreal/MTL141466/2009(H1N1))
no rank,1049099,Influenza A virus (A/Montreal/MTL141633/2009(H1N1))
no rank,1049100,Influenza A virus (A/Montreal/MTL144431/2009(H1N1))
no rank,1049101,Influenza A virus (A/Montreal/MTL144954/2009(H1N1))
no rank,1049102,Influenza A virus (A/Montreal/MTL215389/2009(H1N1))
no rank,1049103,Influenza A virus (A/Montreal/MTL236425/2009(H1N1))
no rank,1049104,Influenza A virus (A/Montreal/MTL244624/2009(H1N1))
no rank,1049105,Influenza A virus (A/Montreal/MTL246716/2009(H1N1))
no rank,1049106,Influenza A virus (A/Montreal/MTL250022/2009(H1N1))
no rank,1049107,Influenza A virus (A/Montreal/MTL256259/2009(H1N1))
no rank,1049108,Influenza A virus (A/Montreal/MTL260102/2009(H1N1))
no rank,1049109,Influenza A virus (A/Montreal/MTL260764/2009(H1N1))
no rank,1049110,Influenza A virus (A/Montreal/MTL263979/2009(H1N1))
no rank,1049111,Influenza A virus (A/Montreal/MTL266917/2009(H1N1))
no rank,1049112,Influenza A virus (A/Montreal/MTL272178/2009(H1N1))
no rank,1049113,Influenza A virus (A/Montreal/MTL274373/2009(H1N1))
no rank,1049114,Influenza A virus (A/Montreal/MTL278270/2009(H1N1))
no rank,1049115,Influenza A virus (A/Montreal/MTL281027/2009(H1N1))
no rank,1049116,Influenza A virus (A/Montreal/MTL283502/2009(H1N1))
no rank,1049117,Influenza A virus (A/Montreal/MTL287409/2009(H1N1))
no rank,1049118,Influenza A virus (A/Montreal/MTL287826/2009(H1N1))
no rank,1049119,Influenza A virus (A/Montreal/MTL295494/2009(H1N1))
no rank,1049120,Influenza A virus (A/Montreal/MTL307782/2009(H1N1))
no rank,663269,Influenza A virus (A/Montserrat/1447/2008(H1N1))
no rank,663270,Influenza A virus (A/Montserrat/1448/2008(H1N1))
no rank,519362,Influenza A virus (A/Morioka/1/2005(H1N1))
no rank,512064,Influenza A virus (A/Morioka/17/2002(H1N1))
no rank,519358,Influenza A virus (A/Morioka/21/2005(H1N1))
no rank,519359,Influenza A virus (A/Morioka/27/2002(H1N1))
no rank,519356,Influenza A virus (A/Morioka/3/2005(H1N1))
no rank,519357,Influenza A virus (A/Morioka/4/2005(H1N1))
no rank,519360,Influenza A virus (A/Morioka/5/2005(H1N1))
no rank,519361,Influenza A virus (A/Morioka/7/2005(H1N1))
no rank,192547,Influenza A virus (A/Morocco/69/2001(H1N1))
no rank,1410478,Influenza A virus (A/Moscow oblast/CRIE-08/2013(H1N1))
no rank,1089556,Influenza A virus (A/Moscow oblast/CRIE-131/2011(H1N1))
no rank,1089557,Influenza A virus (A/Moscow oblast/CRIE-132/2011(H1N1))
no rank,1089558,Influenza A virus (A/Moscow oblast/CRIE-134/2011(H1N1))
no rank,1089559,Influenza A virus (A/Moscow oblast/CRIE-135/2011(H1N1))
no rank,762319,Influenza A virus (A/Moscow oblast/CRIE-4142/2009(H1N1))
no rank,762320,Influenza A virus (A/Moscow oblast/CRIE-4145/2009(H1N1))
no rank,1410479,Influenza A virus (A/Moscow oblast/CRIE-57/2013(H1N1))
no rank,1410480,Influenza A virus (A/Moscow oblast/CRIE-58/2013(H1N1))
no rank,1410481,Influenza A virus (A/Moscow oblast/CRIE-59/2013(H1N1))
no rank,1089560,Influenza A virus (A/Moscow oblast/CRIE-6/2011(H1N1))
no rank,1410482,Influenza A virus (A/Moscow oblast/CRIE-60/2013(H1N1))
no rank,1410483,Influenza A virus (A/Moscow oblast/CRIE-61/2013(H1N1))
no rank,1410484,Influenza A virus (A/Moscow oblast/CRIE-62/2013(H1N1))
no rank,1089561,Influenza A virus (A/Moscow oblast/CRIE-7/2011(H1N1))
no rank,762321,Influenza A virus (A/Moscow oblast/CRIE-BGI/2009(H1N1))
no rank,762322,Influenza A virus (A/Moscow oblast/CRIE-DEI/2009(H1N1))
no rank,1089562,Influenza A virus (A/Moscow oblast/CRIE-HDV/2011(H1N1))
no rank,762323,Influenza A virus (A/Moscow oblast/CRIE-IVD/2009(H1N1))
no rank,762324,Influenza A virus (A/Moscow oblast/CRIE-KMA/2009(H1N1))
no rank,1089563,Influenza A virus (A/Moscow oblast/CRIE-LNR/2011(H1N1))
no rank,762325,Influenza A virus (A/Moscow oblast/CRIE-LVS/2009(H1N1))
no rank,762326,Influenza A virus (A/Moscow oblast/CRIE-OAM/2009(H1N1))
no rank,762327,Influenza A virus (A/Moscow oblast/CRIE-RMA/2009(H1N1))
no rank,1050883,Influenza A virus (A/Moscow oblast/CRIE-SchNG/2011(H1N1))
no rank,762328,Influenza A virus (A/Moscow oblast/CRIE-SKV/2009(H1N1))
no rank,762329,Influenza A virus (A/Moscow oblast/CRIE-STV/2009(H1N1))
no rank,1089564,Influenza A virus (A/Moscow oblast/CRIE-VFE/2011(H1N1))
no rank,762330,Influenza A virus (A/Moscow oblast/CRIE-ZNF/2009(H1N1))
no rank,1331500,Influenza A virus (A/Moscow-Oblast/CRIE-08/2013(H1N1))
no rank,647293,Influenza A virus (A/Moscow/01/2009(H1N1))
no rank,650344,Influenza A virus (A/Moscow/02/2009(H1N1))
no rank,691524,Influenza A virus (A/Moscow/0253T/2009(H1N1))
no rank,651980,Influenza A virus (A/Moscow/03/2009(H1N1))
no rank,1194315,Influenza A virus (A/Moscow/13/1998(H1N1))
no rank,192567,Influenza A virus (A/Moscow/17/98(H1N1))
no rank,654366,Influenza A virus (A/Moscow/226/2009(H1N1))
no rank,1321467,Influenza A virus (A/Moscow/501/2011(H1N1))
no rank,1410485,Influenza A virus (A/Moscow/CRIE-10/2013(H1N1))
no rank,1410486,Influenza A virus (A/Moscow/CRIE-11/2013(H1N1))
no rank,1410487,Influenza A virus (A/Moscow/CRIE-13/2013(H1N1))
no rank,1410488,Influenza A virus (A/Moscow/CRIE-14/2013(H1N1))
no rank,1898986,Influenza A virus (A/Moscow/CRIE-282/2016(H1N1))
no rank,1898987,Influenza A virus (A/Moscow/CRIE-287/2016(H1N1))
no rank,1898988,Influenza A virus (A/Moscow/CRIE-288/2016(H1N1))
no rank,1410489,Influenza A virus (A/Moscow/CRIE-29/2013(H1N1))
no rank,1410490,Influenza A virus (A/Moscow/CRIE-30/2013(H1N1))
no rank,1410491,Influenza A virus (A/Moscow/CRIE-31/2013(H1N1))
no rank,1410492,Influenza A virus (A/Moscow/CRIE-32/2013(H1N1))
no rank,1410493,Influenza A virus (A/Moscow/CRIE-33/2013(H1N1))
no rank,762331,Influenza A virus (A/Moscow/CRIE-BVA/2009(H1N1))
no rank,762332,Influenza A virus (A/Moscow/CRIE-CHSN/2009(H1N1))
no rank,762333,Influenza A virus (A/Moscow/CRIE-GSE/2009(H1N1))
no rank,762334,Influenza A virus (A/Moscow/CRIE-ION/2009(H1N1))
no rank,762335,Influenza A virus (A/Moscow/CRIE-PTD/2009(H1N1))
no rank,762336,Influenza A virus (A/Moscow/CRIE-S/2009(H1N1))
no rank,762339,Influenza A virus (A/Moscow/CRIE-Th/2009(H1N1))
no rank,762337,Influenza A virus (A/Moscow/CRIE-TRV/2009(H1N1))
no rank,762338,Influenza A virus (A/Moscow/CRIE-TYD/2009(H1N1))
no rank,941425,Influenza A virus (A/Moscow/IIV-33/2010(H1N1))
no rank,1189072,Influenza A virus (A/Moscow/IIV-45/2012(H1N1))
no rank,1049556,Influenza A virus (A/Moscow/IIV-83/2011(H1N1))
no rank,658179,Influenza A virus (A/Moscow/IIV01/2009(H1N1))
no rank,658180,Influenza A virus (A/Moscow/IIV02/2009(H1N1))
no rank,655740,Influenza A virus (A/Moscow/IIV03/2009(H1N1))
no rank,660123,Influenza A virus (A/Moscow/IIV04/2009(H1N1))
no rank,667050,Influenza A virus (A/Moscow/IIV05/2009(H1N1))
no rank,761242,Influenza A virus (A/Moscow/WR1638T/2009(H1N1))
no rank,761257,Influenza A virus (A/Moscow/WR1866N/2009(H1N1))
no rank,878515,Influenza A virus (A/Moscow/WRAIR1621N/2009(H1N1))
no rank,985924,Influenza A virus (A/Moscow/WRAIR1627T/2009(H1N1))
no rank,878516,Influenza A virus (A/Moscow/WRAIR1632N/2009(H1N1))
no rank,1078066,Influenza A virus (A/Moscow/WRAIR1929P/2011(H1N1))
no rank,1078067,Influenza A virus (A/Moscow/WRAIR1932P/2011(H1N1))
no rank,1078068,Influenza A virus (A/Moscow/WRAIR1933P/2011(H1N1))
no rank,1078069,Influenza A virus (A/Moscow/WRAIR1965P/2011(H1N1))
no rank,1078070,Influenza A virus (A/Moscow/WRAIR1966P/2011(H1N1))
no rank,1078071,Influenza A virus (A/Moscow/WRAIR1967P/2011(H1N1))
no rank,1078072,Influenza A virus (A/Moscow/WRAIR1968P/2011(H1N1))
no rank,1078073,Influenza A virus (A/Moscow/WRAIR4305N/2011(H1N1))
no rank,1078074,Influenza A virus (A/Moscow/WRAIR4305T/2011(H1N1))
no rank,1078075,Influenza A virus (A/Moscow/WRAIR4308T/2011(H1N1))
no rank,1078076,Influenza A virus (A/Moscow/WRAIR4314N/2011(H1N1))
no rank,1078077,Influenza A virus (A/Moscow/WRAIR4314T/2011(H1N1))
no rank,1078078,Influenza A virus (A/Moscow/WRAIR4316N/2011(H1N1))
no rank,1078079,Influenza A virus (A/Moscow/WRAIR4316T/2011(H1N1))
no rank,762340,Influenza A virus (A/Moscowv/CRIE-MOV/2009(H1N1))
no rank,911258,Influenza A virus (A/Mum/NIV1126/2009(H1N1))
no rank,911259,Influenza A virus (A/Mum/NIV1134/2009(H1N1))
no rank,763446,Influenza A virus (A/Mum/NIV261/2009(H1N1))
no rank,911260,Influenza A virus (A/Mum/NIV398/2009(H1N1))
no rank,698888,Influenza A virus (A/Mum/NIV5442/2009(H1N1))
no rank,763450,Influenza A virus (A/Mum/NIV9312/2009(H1N1))
no rank,763454,Influenza A virus (A/Mum/NIV968/2009(H1N1))
no rank,698889,Influenza A virus (A/Mum/NIV9945/2009(H1N1))
no rank,1507188,Influenza A virus (A/Mumbai/151/2009(H1N1))
no rank,1507189,Influenza A virus (A/Mumbai/154/2009(H1N1))
no rank,1507190,Influenza A virus (A/Mumbai/157/2009(H1N1))
no rank,1507191,Influenza A virus (A/Mumbai/162/2009(H1N1))
no rank,1507192,Influenza A virus (A/Mumbai/163/2009(H1N1))
no rank,1507193,Influenza A virus (A/Mumbai/173/2009(H1N1))
no rank,1507194,Influenza A virus (A/Mumbai/178/2009(H1N1))
no rank,1507195,Influenza A virus (A/Mumbai/180/2009(H1N1))
no rank,1507196,Influenza A virus (A/Mumbai/183/2009(H1N1))
no rank,1507197,Influenza A virus (A/Mumbai/193/2009(H1N1))
no rank,1507198,Influenza A virus (A/Mumbai/2236/2009(H1N1))
no rank,1507199,Influenza A virus (A/Mumbai/2244/2009(H1N1))
no rank,1507200,Influenza A virus (A/Mumbai/238/2009(H1N1))
no rank,1507201,Influenza A virus (A/Mumbai/2381/2009(H1N1))
no rank,1507202,Influenza A virus (A/Mumbai/260/2009(H1N1))
no rank,1507203,Influenza A virus (A/Mumbai/262/2009(H1N1))
no rank,1507204,Influenza A virus (A/Mumbai/264/2009(H1N1))
no rank,1507205,Influenza A virus (A/Mumbai/2867/2009(H1N1))
no rank,1507206,Influenza A virus (A/Mumbai/2877/2009(H1N1))
no rank,1507207,Influenza A virus (A/Mumbai/3011/2009(H1N1))
no rank,1507208,Influenza A virus (A/Mumbai/3026/2009(H1N1))
no rank,1507209,Influenza A virus (A/Mumbai/3043/2009(H1N1))
no rank,1507210,Influenza A virus (A/Mumbai/3049/2009(H1N1))
no rank,1507211,Influenza A virus (A/Mumbai/3051/2009(H1N1))
no rank,1507212,Influenza A virus (A/Mumbai/3071/2009(H1N1))
no rank,1507213,Influenza A virus (A/Mumbai/3072/2009(H1N1))
no rank,1507214,Influenza A virus (A/Mumbai/3086/2009(H1N1))
no rank,1507215,Influenza A virus (A/Mumbai/3087/2009(H1N1))
no rank,1507216,Influenza A virus (A/Mumbai/3109/2009(H1N1))
no rank,1507217,Influenza A virus (A/Mumbai/3133/2009(H1N1))
no rank,1507218,Influenza A virus (A/Mumbai/3139/2009(H1N1))
no rank,1507219,Influenza A virus (A/Mumbai/3140/2009(H1N1))
no rank,1507220,Influenza A virus (A/Mumbai/3158/2009(H1N1))
no rank,1507221,Influenza A virus (A/Mumbai/3165/2009(H1N1))
no rank,1507222,Influenza A virus (A/Mumbai/3166/2009(H1N1))
no rank,1503931,Influenza A virus (A/Mumbai/3212/2009(H1N1))
no rank,1507223,Influenza A virus (A/Mumbai/3264/2009(H1N1))
no rank,1507224,Influenza A virus (A/Mumbai/3411/2009(H1N1))
no rank,1507225,Influenza A virus (A/Mumbai/3413/2009(H1N1))
no rank,1507226,Influenza A virus (A/Mumbai/3417/2009(H1N1))
no rank,1507227,Influenza A virus (A/Mumbai/4066/2009(H1N1))
no rank,1507228,Influenza A virus (A/Mumbai/4109/2009(H1N1))
no rank,1507229,Influenza A virus (A/Mumbai/4467/2009(H1N1))
no rank,1507230,Influenza A virus (A/Mumbai/4593/2010(H1N1))
no rank,1507231,Influenza A virus (A/Mumbai/4916/2010(H1N1))
no rank,1507232,Influenza A virus (A/Mumbai/4923/2010(H1N1))
no rank,1507233,Influenza A virus (A/Mumbai/5116/2010(H1N1))
no rank,1507234,Influenza A virus (A/Mumbai/925/2009(H1N1))
no rank,856385,Influenza A virus (A/Munich/INS246/2009(H1N1))
no rank,856386,Influenza A virus (A/Munich/INS247/2009(H1N1))
no rank,856493,Influenza A virus (A/Munich/INS363/2009(H1N1))
no rank,856494,Influenza A virus (A/Munich/INS364/2009(H1N1))
no rank,856495,Influenza A virus (A/Munich/INS365/2009(H1N1))
no rank,1228550,Influenza A virus (A/Munich/INS539/2011(H1N1))
no rank,1228551,Influenza A virus (A/Munich/INS540/2011(H1N1))
no rank,1228552,Influenza A virus (A/Munich/INS541/2011(H1N1))
no rank,660561,Influenza A virus (A/Murcia/GP78/2009(H1N1))
no rank,1034690,Influenza A virus (A/Mures/14446/2009(H1N1))
no rank,1034677,Influenza A virus (A/Mures/51180/2011(H1N1))
no rank,762341,Influenza A virus (A/Murmansk/CRIE-DII/2009(H1N1))
no rank,762342,Influenza A virus (A/Murmansk/CRIE-JAS/2009(H1N1))
no rank,762343,Influenza A virus (A/Murmansk/CRIE-LKA/2009(H1N1))
no rank,762344,Influenza A virus (A/Murmansk/CRIE-PAI/2009(H1N1))
no rank,762345,Influenza A virus (A/Murmansk/CRIE-PVR/2009(H1N1))
no rank,762346,Influenza A virus (A/Murmansk/CRIE-SLV/2009(H1N1))
no rank,1037798,Influenza A virus (A/Murmansk/RII1/2011(H1N1))
no rank,1443107,Influenza A virus (A/muscovy duck/New York/15024-21/1996(H1N1))
no rank,437382,Influenza A virus (A/muscovy duck/New York/21211-5/2005(H1N1))
no rank,506332,Influenza A virus (A/Muscovy duck/New York/97382-2/2005(H1N1))
no rank,506331,Influenza A virus (A/Muscovy duck/New York/99159/2005(H1N1))
no rank,506334,Influenza A virus (A/Muscovy duck/New York/99168-4/2005(H1N1))
no rank,679578,Influenza A virus (A/Myanmar/60/2009(H1N1))
no rank,679579,Influenza A virus (A/Myanmar/JP101/2009(H1N1))
no rank,679580,Influenza A virus (A/Myanmar/JP131/2009(H1N1))
no rank,679581,Influenza A virus (A/Myanmar/JP133/2009(H1N1))
no rank,679582,Influenza A virus (A/Myanmar/JP90/2009(H1N1))
no rank,563799,Influenza A virus (A/Myanmar/M002/2005(H1N1))
no rank,563800,Influenza A virus (A/Myanmar/M003/2005(H1N1))
no rank,563801,Influenza A virus (A/Myanmar/M004/2005(H1N1))
no rank,563802,Influenza A virus (A/Myanmar/M006/2005(H1N1))
no rank,563803,Influenza A virus (A/Myanmar/M007/2005(H1N1))
no rank,563804,Influenza A virus (A/Myanmar/M008/2005(H1N1))
no rank,563805,Influenza A virus (A/Myanmar/M010/2005(H1N1))
no rank,563806,Influenza A virus (A/Myanmar/M011/2005(H1N1))
no rank,563807,Influenza A virus (A/Myanmar/M012/2005(H1N1))
no rank,563808,Influenza A virus (A/Myanmar/M013/2005(H1N1))
no rank,563809,Influenza A virus (A/Myanmar/M014/2005(H1N1))
no rank,885533,Influenza A virus (A/Myanmar/M061/2009(H1N1))
no rank,885534,Influenza A virus (A/Myanmar/M097/2009(H1N1))
no rank,885535,Influenza A virus (A/Myanmar/M121/2009(H1N1))
no rank,885536,Influenza A virus (A/Myanmar/M193/2008(H1N1))
no rank,885537,Influenza A virus (A/Myanmar/M218/2009(H1N1))
no rank,885538,Influenza A virus (A/Myanmar/M232/2008(H1N1))
no rank,885539,Influenza A virus (A/Myanmar/M244/2008(H1N1))
